area_sqft,bedrooms,bathrooms,house_age,distance_km,price_usd,garage_spots
1536.6,3,1,8,5.59,223052.78,2.0
1732.3,6,5,39,11.05,260371.85,3.0
1477.3,5,3,30,0.5,221937.27,2.0
1431.8,5,2,27,6.21,225295.41,1.0
1188.2,1,1,42,31.79,50000.0,1.0
1672.1,2,1,15,1.43,266927.49,2.0
1159.4,2,1,25,17.58,106265.86,1.0
1766.2,2,1,30,2.72,251254.6,3.0
1934.1,2,1,36,21.21,206982.51,0.0
1646.6,6,3,16,1.71,296826.65,0.0
1385.5,1,1,31,4.88,170636.63,1.0
1681.6,5,2,22,8.92,224129.52,0.0
1376.5,4,2,27,39.67,112211.9,0.0
1874.2,4,3,43,2.97,266320.37,1.0
767.4,2,1,19,14.4,81944.01,0.0
1365.8,2,1,33,4.68,182582.92,0.0
703.7,4,2,47,16.33,50000.0,2.0
902.0,2,1,38,10.57,65256.02,1.0
2045.5,5,3,49,0.87,310264.6,3.0
1858.1,1,1,29,7.85,228801.38,0.0
1212.2,1,1,14,1.56,187392.63,2.0
899.0,5,2,49,3.43,113096.61,2.0
400.0,4,3,32,8.57,58254.67,2.0
1282.6,1,1,12,2.16,190874.57,2.0
2468.2,6,4,15,27.16,343058.47,0.0
1674.0,1,1,13,5.98,224953.25,3.0
1276.2,6,4,41,7.61,190867.85,1.0
1686.0,5,3,4,7.99,297024.94,2.0
875.6,6,5,36,5.01,145286.8,1.0
1381.1,6,4,27,4.44,237394.28,1.0
1539.8,2,1,3,10.06,218870.76,2.0
1465.6,5,4,30,19.95,185842.67,3.0
1816.3,2,1,37,13.91,233182.6,3.0
1637.9,3,2,36,2.06,248310.87,2.0
1767.3,2,1,26,22.35,189047.1,2.0
1224.7,3,2,16,12.44,164407.66,2.0
1859.1,6,3,8,21.72,256579.29,3.0
2151.6,3,2,0,4.28,341313.15,
1111.9,1,1,17,22.27,97236.67,3.0
1144.9,2,1,31,2.31,161377.31,2.0
2034.3,5,3,1,16.22,321526.17,2.0
1423.5,4,3,49,6.16,166598.62,2.0
2061.5,4,2,29,0.5,329584.02,3.0
1323.0,3,2,14,26.85,133762.67,2.0
2082.0,2,1,48,22.86,192313.39,0.0
1552.6,4,2,9,2.35,277093.86,3.0
1603.3,4,2,47,3.7,236956.63,2.0
2125.9,6,3,14,14.42,325771.11,3.0
1355.3,4,2,18,14.29,191453.96,3.0
1123.6,6,5,21,13.12,188486.57,3.0
1320.6,5,3,49,0.75,212965.67,0.0
1680.9,1,1,12,2.25,254902.89,2.0
873.7,3,1,48,1.31,78596.12,3.0
1755.0,3,2,17,7.14,285572.95,3.0
1284.5,1,1,14,0.5,203358.57,2.0
1959.1,2,1,31,1.31,266104.47,3.0
542.3,5,4,34,8.93,58310.6,3.0
1185.4,3,2,17,1.57,194268.86,0.0
825.4,1,1,6,12.88,86788.78,3.0
1169.5,2,1,19,1.13,175194.29,2.0
1599.1,2,1,27,24.05,167451.94,2.0
1428.3,2,1,2,2.6,216554.95,0.0
1398.6,1,1,3,2.97,193553.64,3.0
1436.3,5,4,45,0.5,225736.18,1.0
1581.4,5,3,1,13.74,241779.96,1.0
1096.6,3,2,20,6.24,157966.54,1.0
1782.7,4,2,38,44.31,110726.01,3.0
1765.1,6,3,16,1.32,300806.17,1.0
1654.0,6,5,24,19.21,245404.1,0.0
1722.6,1,1,4,2.05,269538.12,0.0
1618.6,6,5,39,9.79,227793.06,3.0
2314.0,1,1,31,3.78,294053.63,0.0
1465.2,1,1,42,6.8,162205.55,3.0
1377.2,3,1,43,1.43,188110.26,0.0
1198.6,5,2,17,10.65,183502.91,3.0
1087.1,1,1,2,5.29,150112.17,2.0
1002.2,2,1,17,0.5,153899.06,0.0
1144.5,2,1,7,3.33,196830.71,3.0
1471.7,3,1,26,0.5,220136.35,1.0
1633.7,6,3,7,1.73,269975.8,3.0
1520.5,2,1,46,17.32,144946.73,2.0
1193.8,2,1,30,4.05,182589.89,1.0
1860.1,1,1,12,13.25,218540.77,0.0
1795.8,2,1,46,14.51,192072.44,1.0
1436.1,1,1,38,0.5,177926.07,0.0
1238.8,4,3,21,27.61,126221.28,3.0
1719.4,3,2,7,4.88,271774.6,0.0
1575.2,3,2,17,15.67,219953.66,0.0
920.7,5,4,29,4.83,150079.68,
1472.8,4,2,38,4.26,223691.28,3.0
1604.8,1,1,13,14.3,193444.57,3.0
1140.1,3,1,37,26.35,71318.23,2.0
1575.9,2,1,14,8.03,206449.59,
918.1,5,4,12,0.5,154554.35,2.0
2034.5,2,1,22,6.81,283492.05,3.0
1999.2,1,1,8,3.37,323990.02,0.0
1399.0,5,4,20,7.7,229608.39,3.0
1645.4,3,2,17,5.22,255033.8,0.0
536.0,1,1,14,2.62,62535.86,3.0
1037.5,5,4,38,0.5,164854.14,2.0
1382.5,2,1,16,0.5,222442.89,3.0
1071.1,6,4,34,12.08,181764.17,
1785.8,5,2,36,4.46,283615.88,3.0
2298.9,3,1,33,26.61,266478.32,3.0
